Transaction_ID,Products,City,Previous_Sessions,Days_Since_Last_Session,Source,Medium,Session_Duration,Revenue,Tax,Shipping,Quantity
215,Green Label,McLean,2,0,paypal.com,referral,77,$168.00 ,$0.00 ,$6.00 ,15
218,Black Label,New York,2,0,google,organic,1319,$118.00 ,$0.00 ,$0.00 ,12
170,Black Label,Davis,1,0,google,cpc,402,$94.00 ,$0.00 ,$6.00 ,11
228,American Style Pepper Sauce,Norwalk,2,5,(direct),(none),512,$92.00 ,$0.00 ,$0.00 ,10
394,Hamajang Kiawe Smoked Ghost Pepper,Copenhagen,2,0,paypal.com,referral,86,$91.45 ,$0.00 ,$47.45 ,2
352,313 Foodie Sauce,Creve Coeur,3,5,(direct),(none),642,$86.00 ,$0.00 ,$6.00 ,8
388,$83.00 Gift Certificate,New York,1,0,(direct),(none),159,$83.00 ,$0.00 ,$0.00 ,1
305,Limited Edition Cranberry Red Jalapeno,Ottawa,3,0,paypal.com,referral,0,$82.65 ,$0.00 ,$38.65 ,4
216,Bad Karma Sauce,Barboursville,1,0,google,organic,1170,$82.00 ,$0.00 ,$0.00 ,8
207,Bangkok,(not set),2,0,google,cpc,277,$81.00 ,$0.00 ,$6.00 ,7
349,Black Label,New York,2,3,google,organic,220,$81.00 ,$0.00 ,$6.00 ,8
264,Bangkok,Pleasantville,1,0,google,organic,354,$80.00 ,$0.00 ,$6.00 ,7
255,Ghost Pepper Sauce Pack,Newark,2,0,google,organic,2224,$72.00 ,$0.00 ,$6.00 ,4
291,Ghost Chili Apple,Montauk,1,0,(direct),(none),1740,$72.00 ,$0.00 ,$0.00 ,6
383,The Gourmet Pack,Los Angeles,1,0,google,organic,290,$72.00 ,$0.00 ,$6.00 ,2
145,313 Foodie Sauce,New York,10,13,google,organic,1358,$71.00 ,$0.00 ,$6.00 ,7
382,Ghost Pepper Sauce Pack,West Hartford,2,0,paypal.com,referral,307,$69.00 ,$0.00 ,$6.00 ,2
206,Ghost Pepper Sauce Pack,New York,2,0,paypal.com,referral,37,$66.00 ,$0.00 ,$6.00 ,2
239,Habanero Hot Sauce Pack,New York,2,0,google,organic,0,$66.00 ,$0.00 ,$6.00 ,2
274,Ghost Pepper Sauce Pack,New York,1,0,yahoo,organic,348,$66.00 ,$0.00 ,$6.00 ,2
231,Hamajang Kiawe Smoked Ghost Pepper,Fort Lee,1,0,google,cpc,189,$61.00 ,$0.00 ,$6.00 ,5
391,Hamajang Kiawe Smoked Ghost Pepper,New York,2,0,paypal.com,referral,0,$61.00 ,$0.00 ,$6.00 ,3
