Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1330402,Student loan,Non-federal student loan,Can't repay my loan,,GA,30215,Web,04/14/2015,04/14/2015,ACS Education Services,Closed with explanation,Yes,
1329707,Student loan,Non-federal student loan,Dealing with my lender or servicer,,AZ,86406,Web,04/13/2015,04/14/2015,Navient,In progress,Yes,
1326175,Student loan,Non-federal student loan,Can't repay my loan,,CA,90046,Web,04/11/2015,04/11/2015,Loan To Learn,Closed with explanation,Yes,Yes
1323953,Student loan,Non-federal student loan,Can't repay my loan,,IL,61554,Web,04/09/2015,04/13/2015,"Solomon and Solomon, P.C.",Closed with explanation,Yes,
1323780,Student loan,Non-federal student loan,Dealing with my lender or servicer,,DC,20036,Web,04/09/2015,04/09/2015,Access Group,Closed with explanation,Yes,
1320841,Student loan,Non-federal student loan,Dealing with my lender or servicer,,CA,94070,Web,04/08/2015,04/08/2015,Nelnet,Closed with non-monetary relief,Yes,
1321367,Student loan,Non-federal student loan,Dealing with my lender or servicer,,IN,46725,Phone,04/08/2015,04/10/2015,Navient,In progress,Yes,
1319774,Student loan,Non-federal student loan,Dealing with my lender or servicer,,MI,49546,Web,04/07/2015,04/07/2015,JPMorgan Chase,Closed with explanation,Yes,Yes
1320109,Student loan,Non-federal student loan,Can't repay my loan,,GA,30071,Web,04/07/2015,04/07/2015,First Associates Loan Servicing LLC,Closed with explanation,Yes,
1320729,Student loan,Non-federal student loan,Dealing with my lender or servicer,,AR,71929,Web,04/07/2015,04/09/2015,First Associates Loan Servicing LLC,Closed with explanation,Yes,
1319584,Student loan,Non-federal student loan,Dealing with my lender or servicer,,NY,11201,Web,04/07/2015,04/09/2015,Navient,In progress,Yes,
1316941,Student loan,Non-federal student loan,Dealing with my lender or servicer,,,,Referral,04/06/2015,04/08/2015,Navient,In progress,Yes,
1316458,Student loan,Non-federal student loan,Dealing with my lender or servicer,,GA,30024,Web,04/06/2015,04/06/2015,Navient,Closed with explanation,Yes,
1317993,Student loan,Non-federal student loan,Can't repay my loan,,CA,95628,Web,04/06/2015,04/15/2015,Transworld Systems Inc.,In progress,Yes,
1316663,Student loan,Non-federal student loan,Can't repay my loan,,TN,38372,Web,04/05/2015,04/06/2015,Sallie Mae,Closed with explanation,Yes,
1315996,Student loan,Non-federal student loan,Dealing with my lender or servicer,,NJ,07728,Web,04/04/2015,04/04/2015,Navient,Closed with explanation,Yes,
1316065,Student loan,Non-federal student loan,Can't repay my loan,,NY,13090,Web,04/04/2015,04/05/2015,Citibank,Closed with explanation,Yes,
1315897,Student loan,Non-federal student loan,Dealing with my lender or servicer,,NY,10595,Web,04/03/2015,04/04/2015,ACS Education Services,Closed with explanation,Yes,
